,County,CST,DEM,GRE,LIB,REP,Asian,Biracial,Black,Indian American,Other,Undesignated,White,DorR
12,CABARRUS,144,52162,253,1096,63237,0.016707251531055716,0.005765925965245201,0.1824593764306994,0.002448362118728975,0.027993603736903915,0.13145514985435894,0.6331703303630078,R
13,CALDWELL,52,10245,60,273,32119,0.003265946577142023,0.0027185812290176615,0.04979200116771274,0.0012406947890818859,0.012936067727339075,0.07312801050941468,0.856918698000292,R
14,CAMDEN,5,1537,8,76,4312,0.004521016617790812,0.002565982404692082,0.11852394916911047,0.0013440860215053765,0.013807429130009775,0.06317204301075269,0.7960654936461388,R
15,CARTERET,57,12093,64,373,30028,0.0043188289476198665,0.0029238089778134495,0.042748762636396646,0.0017007777714078236,0.008007032429436832,0.0908482868008179,0.8494525024365075,R
16,CASWELL,8,4860,19,64,7089,0.0014825319066649478,0.0032228954492716255,0.3124274848523914,0.0014180739976795153,0.008895191439989687,0.07535129560397061,0.5972025267500323,R
17,CATAWBA,130,25689,194,652,56588,0.019704433497536946,0.003806955261395639,0.08298245131225289,0.0011650200438487858,0.028978726917467043,0.08855069671867977,0.774811716248819,R
18,CHATHAM,60,26787,90,366,21186,0.012543722108310215,0.0049278908282647275,0.10451953064424419,0.0021537984389268915,0.022072126402122784,0.13284628771301066,0.7209366438651206,D
19,CHEROKEE,39,3583,49,95,12628,0.003524073829346725,0.0018060878375401965,0.010396017796572838,0.00585877274128893,0.007356504118761288,0.0404827981146205,0.9305757455618695,R
20,CHOWAN,5,3247,7,47,4471,0.0018368136117556072,0.002223511214230472,0.2965970610982212,0.001160092807424594,0.0075406032482598605,0.05868136117556071,0.6319605568445475,R
21,CLAY,11,1699,14,46,5112,0.00120415982484948,0.0010946907498631637,0.004707170224411604,0.001751505199781062,0.005473453749315818,0.0548440065681445,0.9309250136836343,R
22,CLEVELAND,74,16955,81,329,33798,0.003787432209384579,0.003816906390002358,0.20217814194765385,0.001429497759962273,0.010610705022400376,0.08719936335769865,0.6909779533128979,R
23,COLUMBUS,33,9446,23,88,16832,0.001481242088820662,0.0026931674342193855,0.29277423177398937,0.025908270717190488,0.011419029921090194,0.06345102475020872,0.6022730333144811,R
24,CRAVEN,73,21148,92,626,31032,0.013670726872547813,0.005044498215970143,0.20311965987231542,0.002324023568333128,0.023294918590821473,0.07361686420866997,0.678929308671342,R
25,CUMBERLAND,244,84469,423,1645,60032,0.014543648526296358,0.01213069505366514,0.3916456430586932,0.010618753351324268,0.0509621047634954,0.11805891298423889,0.40204024226228674,D
26,CURRITUCK,24,4195,29,209,11657,0.0025621082490735235,0.0037516585075719447,0.050418630187125404,0.002196092784920163,0.013771331838770188,0.06336642723155053,0.8639337512009883,R
27,DARE,31,9936,47,223,13938,0.0031099053794746245,0.002183550585588566,0.01760074108383511,0.0012241116919208628,0.012505789717461788,0.07271885132005558,0.8906570502216634,R
28,DAVIDSON,189,22636,187,703,64658,0.0058510357914711925,0.002661957724948606,0.09093704426053802,0.002284188146820586,0.01561154744961608,0.09610282360796303,0.7865514030186425,R
29,DAVIE,32,6713,53,213,18228,0.0033318525099955577,0.0026654820079964462,0.06006854096591991,0.0011423494319984769,0.01158215396331789,0.10039982230119947,0.8208097988195723,R
30,DUPLIN,17,8767,33,84,13793,0.002225806451612903,0.004064516129032258,0.27616129032258063,0.0017741935483870969,0.031,0.09670967741935484,0.5880645161290322,R
31,DURHAM,206,144688,519,1504,32459,0.032986125272233414,0.014086804734210461,0.32314004420989095,0.0024674339502597942,0.02926662153233766,0.14248717342186187,0.45556579687920584,D
32,EDGECOMBE,27,16089,33,97,9206,0.001145347375478392,0.0038830069558901583,0.578875324747884,0.001983406430706484,0.012319468111852949,0.05698801575551024,0.3448054306226779,D
33,FORSYTH,298,113033,499,1785,85064,0.010549712913053668,0.007027038903210687,0.25535358565737054,0.0019627372861495194,0.02738311460042184,0.10795421256151863,0.5897695980782751,D
34,FRANKLIN,73,15879,75,333,20901,0.004146857394181833,0.004398182084738308,0.23517707918822126,0.002827402768760341,0.018451421031687856,0.12528535824240267,0.6097136992900077,R
35,GASTON,142,40959,225,910,73033,0.007398549201009252,0.0052565180824222036,0.16452901597981498,0.002247161480235492,0.022557033221194282,0.102272129941127,0.6957395920941968,R
36,GATES,7,2546,4,41,3367,0.0013146886578223975,0.005975857535556352,0.3146886578223975,0.002151308712800287,0.008366200549778893,0.06525636428827537,0.6022469224333692,R
37,GRAHAM,13,905,5,26,3710,0.0009775171065493646,0.001466275659824047,0.0008145975887911372,0.044639947865754315,0.005050505050505051,0.03698273053111763,0.9100684261974584,R
38,GRANVILLE,31,14565,55,244,16647,0.003743090156416549,0.0049577353065119855,0.2979846805979029,0.0019335167695396743,0.02067375622815498,0.09920428348330483,0.5715029374581692,R
39,GREENE,4,3832,8,26,4874,0.0016698892599753912,0.0031640007031112673,0.35480752329056076,0.0009667779926173317,0.03374934083318685,0.06574090349797855,0.5399015644225699,R
40,GUILFORD,423,173086,704,2232,107294,0.02197673754149372,0.008901344942051647,0.3339523841682294,0.002636377331830295,0.02828066639307217,0.0916758009132515,0.5125766887100712,D
41,HALIFAX,24,15545,31,62,10080,0.004700877146908976,0.004385734544881559,0.5173853668785126,0.028572929250485844,0.008823992856767687,0.056646882714428276,0.3794842166080151,D
42,HARNETT,80,22093,125,708,35177,0.006410101059060175,0.007597605603082665,0.2063107384339481,0.005683057460679058,0.03752756706977195,0.13428495262099216,0.6021859777524659,R
43,HAYWOOD,56,13144,89,334,22834,0.002989504473503097,0.0026453888506538198,0.010172918100481761,0.0025378527185134204,0.006903819683413627,0.05746730901582932,0.9172832071576049,R
44,HENDERSON,131,27211,175,670,40032,0.00518737245334215,0.004685736435876096,0.027441770319108914,0.0017101227868160933,0.01737484751405151,0.08715925803472689,0.8564408924560784,R
45,HERTFORD,7,7097,9,28,3479,0.0025247491861005913,0.0050494983722011826,0.6133811706863331,0.006444754501362036,0.009434589063849579,0.05102650986645406,0.31213872832369943,D
46,HOKE,31,11804,50,262,9453,0.00902197044630279,0.009621436921140186,0.3739771603273087,0.06138536702334922,0.06144531367083296,0.08683271888019663,0.39771603273086953,D
47,HYDE,1,1046,6,17,1418,0.000315357931251971,0.00315357931251971,0.20245979186376536,0.000315357931251971,0.007883948281299276,0.06780195521917376,0.718070009460738,R
48,IREDELL,150,33888,178,907,67010,0.008958643601787147,0.00410127162332455,0.10727460190170696,0.001657310879443999,0.020506358116622752,0.0957116126322221,0.7617902012448925,R
49,JACKSON,58,9591,102,257,11356,0.00768172822112643,0.00872161282747979,0.022944550669216062,0.049042299822213274,0.014189393177015196,0.0901680587702526,0.8072523565126967,R
50,JOHNSTON,150,41257,215,1164,68353,0.004769386932157904,0.0050752951318881485,0.15697957367520893,0.002767078715741758,0.02758735764840024,0.120068968394121,0.682752339502482,R
51,JONES,5,2197,5,34,3280,0.002837454398054317,0.0032428050263477908,0.30982299689231185,0.002026753141467369,0.009863531955141197,0.0691798405620862,0.6030266180245912,R
52,LEE,47,12143,65,235,16469,0.005572036630981556,0.008254869082935637,0.1915129627241068,0.0036630981555526893,0.043596027344253836,0.11536179543402554,0.6320392106281439,R
53,LENOIR,30,13605,29,126,14590,0.0026186833985843553,0.003992843993881097,0.4049625346781094,0.0017112188545204698,0.01511576654826415,0.07363426586118385,0.49796468666545673,R
54,LINCOLN,59,13274,87,373,36341,0.003602971654497338,0.0027899116793674073,0.05090393138411504,0.0014029270159104678,0.01669164301884386,0.10262092274336002,0.8219876925039059,R
55,MACON,24,6230,31,169,14211,0.003593560925525283,0.0024201532763741705,0.006637087015510982,0.0020901323750504197,0.010707344798503906,0.05581020131274981,0.9187415202962854,R
56,MADISON,19,4901,37,103,7979,0.0022572056951036,0.003935640699154995,0.010302118300729251,0.0018520662113670563,0.008392175020256975,0.08762588262530385,0.8856349114480843,R
57,MARTIN,16,5911,13,59,6532,0.0013922518159806296,0.003208232445520581,0.412772397094431,0.0017554479418886199,0.008837772397094431,0.04697336561743341,0.5250605326876513,R
58,MCDOWELL,21,5832,45,184,16883,0.004209682269219204,0.005245397748154088,0.027463165280144333,0.0011025358324145535,0.012996558751795798,0.04156225986435468,0.9074204002539173,R
59,MECKLENBURG,763,378107,1611,5427,179211,0.024359948249124783,0.00834589942340858,0.3089759046010156,0.0026719475738942785,0.04123063278924368,0.1077068239852961,0.5067088433780169,D
60,MITCHELL,12,1867,11,47,7090,0.0010759436922801041,0.00134492961535013,0.002958845153770286,0.0009862817179234287,0.005828028333183897,0.09244149556173227,0.8953644759257599,R
61,MONTGOMERY,11,4327,13,78,8411,0.00943285680806187,0.0030466369814858216,0.19006327630653855,0.002519334426997891,0.025955003515350364,0.0800328099367237,0.6889500820248418,R
62,MOORE,70,20779,85,520,36764,0.0068221268350444715,0.003794555754403434,0.10753932478436966,0.004534628685226799,0.0223367466393961,0.0707778839296527,0.7841947333719068,R
63,NASH,56,25947,75,287,25827,0.0042327272727272726,0.005003636363636364,0.38727272727272727,0.004814545454545454,0.019927272727272727,0.07550545454545454,0.5032436363636363,D
64,NEW HANOVER,171,66138,362,1521,63331,0.007193313258098106,0.005870599161342977,0.11588101201699828,0.0021669996904286155,0.01769622604339628,0.10496158500548786,0.7462302648242479,D
65,NORTHAMPTON,7,6069,10,30,3989,0.0007174115790228855,0.002223975894970945,0.5595092904799484,0.002295717052873233,0.004591434105746466,0.0513666690580386,0.37929550182939953,D
66,ONSLOW,100,24266,136,1506,46078,0.011459174565392952,0.008084328643685978,0.16096399880987802,0.0035108598631359714,0.041934798316827476,0.1052917924087219,0.6687550473923577,R
67,ORANGE,82,63594,217,653,20176,0.0427999288002848,0.012406550373798505,0.1050996796012816,0.0022872908508365965,0.02822178711285155,0.13055357778568885,0.6786311854752581,D
68,PAMLICO,5,2713,10,44,4849,0.0033759590792838876,0.002864450127877238,0.15754475703324808,0.002762148337595908,0.008695652173913044,0.06864450127877238,0.7561125319693095,R
69,PASQUOTANK,36,9832,48,161,9770,0.004832765454419025,0.006571170294138099,0.3429177386829845,0.0014950281621584035,0.016653918364508725,0.07266532230025728,0.5548640567415339,D
70,PENDER,46,11723,63,329,21956,0.002796644027167399,0.003329338127580237,0.13563723531761887,0.0023527322768233674,0.017068406800728016,0.10105650996581879,0.7377591334842634,R
71,PERQUIMANS,16,2492,18,44,4903,0.0014364867638005335,0.002462548737943772,0.20859839934332033,0.0021547301457008005,0.006258978042273753,0.05961420069772214,0.7194746562692387,R
72,PERSON,36,8465,42,144,13184,0.0021214627305742332,0.0043148394520153895,0.25482722663694224,0.004494624429182697,0.012692819388011938,0.08669231599007587,0.6348567113731977,R
73,PITT,125,47252,210,796,38982,0.008024721318901779,0.007126793832613373,0.33583296930867673,0.0019738225824718083,0.028054166868902587,0.08693717743370706,0.5320503486547267,D
74,POLK,17,4518,23,86,7689,0.002298711511705281,0.003206097634746839,0.040166959046639646,0.0006049240820277055,0.010707156251890388,0.06375899824572016,0.8792571532272699,R
75,RANDOLPH,75,15618,123,506,56894,0.006103014678802547,0.0027042668490556113,0.06133529752196559,0.0032198663650234126,0.027137370442468563,0.08251696743305098,0.8169832167096333,R
76,RICHMOND,24,8754,35,99,11830,0.004726122879194859,0.002720070721838768,0.32151235932134237,0.01428037128965353,0.019176498588963312,0.05477542416102819,0.582809153037979,R
77,ROBESON,61,19020,73,161,27806,0.00391819945067104,0.006938207000689915,0.2679345491467177,0.3488369065750251,0.03065568008747608,0.06153265383163458,0.28018380390778563,R
78,ROCKINGHAM,55,15992,75,312,31301,0.0026996805111821087,0.003338658146964856,0.18461661341853036,0.0017891373801916933,0.013993610223642173,0.09226837060702875,0.7012939297124601,R
79,ROWAN,99,23114,154,577,49297,0.004327583731566749,0.004163504727526304,0.16205878130319748,0.001999712861742929,0.017751297249625694,0.09721680989396395,0.7124823102323768,R
80,RUTHERFORD,53,9135,60,218,24891,0.0024988049193863803,0.0029333796879753163,0.09199947851027769,0.0014340967363434879,0.01264612576593803,0.08115683803398374,0.8073312763460954,R
81,SAMPSON,29,10966,23,143,17411,0.002257810448936729,0.003885534260960882,0.28009976371751116,0.014413231819375164,0.04108689944867419,0.08086111840378052,0.5773956419007613,R
82,SCOTLAND,14,7186,31,54,7473,0.00661231884057971,0.004302536231884058,0.3840126811594203,0.07617753623188406,0.008152173913043478,0.07418478260869565,0.44655797101449274,R
83,STANLY,48,8129,32,225,25458,0.009757004135111276,0.0018120150536635228,0.1014031501184779,0.0019281698647957998,0.010012544719602286,0.09926590159364401,0.7758212145147052,R
84,STOKES,29,5286,30,180,20142,0.0015314892952023754,0.003344272542584779,0.03791217377715268,0.0017815283638068448,0.007594936708860759,0.0795749335833724,0.8682606657290202,R
85,SURRY,42,8721,45,235,27538,0.0019701302828090245,0.002499735197542633,0.037538396356318185,0.0011227624192352505,0.01953182925537549,0.08854994174345938,0.84878720474526,R
86,SWAIN,19,2780,19,72,4161,0.0026743264659270997,0.003169572107765452,0.012381141045958796,0.15729001584786054,0.009805863708399367,0.05586370839936609,0.7588153724247226,R
87,TRANSYLVANIA,34,8444,50,180,11636,0.0026346494034400992,0.004328352591365878,0.03131469005231661,0.0018442545824080695,0.009221272912040349,0.07377018329632279,0.8768865971621063,R
88,TYRRELL,2,758,2,8,1044,0.007478188616535106,0.0024927295388450354,0.2904029912754466,0.0029081844619858743,0.015371832156211051,0.07976734524304113,0.6015787287079352,R
89,UNION,171,48725,238,1136,80382,0.017455249038507193,0.005395042970419258,0.11438203314182613,0.002522434832154219,0.036429894117088454,0.1109990028963487,0.712816343003656,R
90,VANCE,34,12431,24,94,8391,0.002929490201360361,0.004007003838642333,0.5056569465957303,0.001952993467573574,0.01680247828136575,0.07542595460973803,0.3932251330055896,D
91,WAKE,884,393336,1612,7514,226197,0.03447976933079547,0.00844279441418691,0.18151254169572018,0.002379561401855656,0.038965003863332265,0.12980796411812373,0.6044123651759857,D
92,WARREN,32,6400,29,63,3752,0.0019210876311511749,0.003916063248115856,0.49431062509235996,0.04049061622580168,0.00945766218412886,0.061474804196837596,0.38842914142160484,D
93,WASHINGTON,7,3396,2,17,2781,0.0021598272138228943,0.0028797696184305254,0.4870410367170626,0.0013198944084473242,0.006839452843772498,0.05675545956323494,0.44300455963522917,D
94,WATAUGA,43,17122,103,386,14451,0.007365789997566857,0.010949147293680461,0.020040257470857574,0.0015704837532349754,0.015151850295295184,0.09637461567387025,0.8485478555154947,D
95,WAYNE,71,24215,92,378,30709,0.006420083068013574,0.005162270875096629,0.3213579130799366,0.0018212072376609933,0.03601797623259044,0.08338246662211915,0.5458380828845826,R
96,WILKES,57,7511,40,214,27592,0.0020474554678435743,0.0030939327069636237,0.036831448915986074,0.001091976249516573,0.01196623973428578,0.07341265327479127,0.871556293650613,R
97,WILSON,41,20754,56,245,19581,0.004443824826168029,0.003851314849345625,0.4049631423940888,0.0018646637505881534,0.02713347158566126,0.07746196608751721,0.48028161650663087,D
98,YADKIN,33,3763,28,131,15933,0.001940962393853619,0.001981399110392236,0.029963606955115244,0.0011726647796198948,0.020986655883542257,0.07848766680145572,0.865467044076021,R
99,YANCEY,18,3688,27,82,7516,0.0018334391086665257,0.0021860235526408576,0.005570834214794443,0.0014808546646921938,0.004372047105281715,0.07644030745363514,0.9081164939002891,R
